bee,frame-1,frame-2,frame-3,frame-4,frame-5,frame-6,frame-7,frame-8,frame-9,frame-10,frame-11,frame-12,frame-13,frame-14,frame-15
bee1,450.0619146554389,457.2705598258014,,,,,,,,,,,,,
bee2,338.95086460214327,363.9077367656738,386.1288742694356,400.1296514846863,404.6815374790478,398.278402466235,408.51071145288483,,,,,,,,
bee3,237.39122843120558,274.0803302589265,315.9049752073686,354.93894256512,379.792196448075,395.5828208802589,390.780233215747,397.40455972194314,,,369.3655350612502,363.9077367656738,363.7427847299142,,
bee4,238.22942279978173,247.51854899939403,256.13193188177934,252.4587594837122,237.29731080950137,213.9209531842271,203.9140328291226,202.811598735424,201.47135391213288,213.54389364491686,271.700495255502,303.96612420452897,339.25930980106364,344.49048875838815,
bee5,203.9140328291226,200.21421997957634,199.43765248588568,191.3443344366058,166.01208907010692,149.5678502825204,143.73341140045366,149.1890515884279,148.26962612139516,152.06906325745553,,,,,
bee6,179.5675723273834,177.04807806885057,181.0487092375918,183.77705375527285,173.24962366125197,162.67071859623215,155.29630071282816,157.4754754786569,156.72236554756876,168.97831047253044,189.0000580631493,182.03336343831015,,,
bee7,369.46764987921506,290.0631996788908,235.17971705512556,208.69515904819377,204.11574488849567,192.9683833744983,234.5079926745736,295.08577953529135,334.4246538584851,365.547299993087,387.22970572147653,389.3702928649108,381.7207538005108,361.6579430401887,330.7772365912043
bee8,583.3517045901942,528.2892258723808,483.1612436650652,448.00751543029963,426.2166881938394,415.6840264871183,429.0275554635748,473.27859331068987,505.8319011376257,545.4953324734713,,,,,
bee9,444.71153240134714,399.86709040165147,370.5763316218388,347.20617246857,,,,,,,,,,,
bee10,55.748123049964335,82.45421059590068,114.53071182271277,167.2648729497862,215.45442772252335,,,,,,,,,,
bee11,392.2299163376414,334.6950068337609,318.5037141262382,298.48870589116365,,,,,,,,,,,
bee12,329.68814503509276,317.56019703041693,286.08563952300966,261.6719744684597,253.78648284566196,,,,,,,,,,
bee13,150.56193326202828,121.52226618895077,89.24504266682582,60.89327054613845,41.98438536575787,38.064453316841615,39.425312696377354,34.146460952936614,38.2778270529526,46.129328544745,,,,,
bee14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bee15,282.4316929448574,206.88799047689187,166.17726499711216,170.79255259509378,,,,,,,,,,,
bee16,257.60217784440084,276.7341506273788,320.94788452585044,375.61107048230275,425.8534559925464,489.6056053948108,562.3145937390932,643.9234004747866,714.1836591800324,780.2940997022714,873.6590744257594,902.8138644259543,915.4368855131546,927.6594882823516,945.4986853826697
bee17,82.95180149787049,184.76108845738082,286.59015391972406,377.1656715006993,453.09955997361686,524.8979259317589,584.4353200714778,628.0290112387133,641.2997989230663,647.886852092134,611.1286473353744,582.9047514350366,547.4109782873558,509.0353042914501,468.7792057659698
bee18,205.3907414002619,164.84862324904506,152.6907720829478,199.3473576414502,275.92126518559354,357.3570296485461,434.63026085264016,503.1536348342459,547.4352533888818,577.2374016231513,594.3441994626029,600.93947938833,619.5081072306917,649.7394486761449,691.6028281313537
bee19,216.97706477697554,227.82482200122584,260.05169898580675,312.52023254119,372.98728266731837,444.86187958367657,516.1893786419581,585.7431119025554,653.6781287621209,709.5958247959899,778.61617070893,808.5433098793269,840.9630151599658,882.1275449088802,933.4692728750745
bee20,297.0433291104155,318.2894196985809,340.82145584958687,372.3264574883843,410.62047996247463,455.1530488152602,,,,,,,,,
bee21,307.60725320158207,325.6236884497409,338.6876889466663,352.8748710402592,379.8763580055869,,,,,,,,,,
bee22,340.41394352941177,395.4771182215211,477.8836416100542,584.6946597051698,709.0508405873735,,,,,,,,,,
bee23,487.9952550984776,469.975667366062,451.98871099650466,442.7206894929007,449.51095290733963,463.55998885385003,492.3609507732071,519.5782365752636,567.1902685463335,605.0884544300756,655.5940707294926,675.6839853134132,704.7784603828629,732.4485817848874,753.5810186188905
bee24,465.94701271248937,457.08411502737414,455.4237763349396,461.7448675337592,472.72017535767515,486.3226194984545,499.2840738262432,497.65592703558764,499.8799977216738,498.46817271526817,449.58637119995524,423.4052725022432,404.045152585177,404.12546391687863,
bee25,429.50844395582635,477.71572069423706,517.9158225312013,561.7405501220712,607.2431386438095,642.260715633219,,,,,,,,,
bee26,378.3092685701827,400.83249875377516,439.14381166205106,473.0816985585194,492.46440936091267,,,,,,,,,,
bee27,340.27296552244206,375.8365993735763,421.3111831475987,459.0037814788745,476.56628983858326,485.87074343552774,495.10046315775577,512.714249400731,505.3650092672833,,,,,,
bee28,194.0689856536991,211.89647879715216,230.5153768426216,252.90949007328848,282.62449718453195,301.31894110327664,328.93425837750954,353.795091383142,367.21308243810984,376.10528383394575,368.8469388422342,373.8299749821057,371.87254390829645,351.1064236968384,315.33374741516434
bee29,344.9067129276635,410.8900582133797,471.82100996123336,547.1224715016278,619.022923299115,712.169857176916,810.4819230159387,909.2375664561022,1002.5850506667616,,,,,,
bee30,439.9302951945371,476.91304935806636,523.2716196585371,581.2090452924206,636.9559032464357,688.2180448204925,738.0122748370981,765.1705538201234,764.1493446110381,755.569452255237,734.5454937937612,740.7824879017195,733.9793355899045,713.1291544079678,592.4275513832877
bee31,529.7154849587755,543.1345270536287,545.5556849563319,557.0076015921511,570.0066131225619,589.7569622958366,619.8689225714534,645.9537371427397,654.0647436168157,677.7383912683422,718.6726835254145,,,,
bee32,595.5605798255464,601.8807130013627,607.5109947310517,615.6142275350566,644.3504497313653,669.6321665893402,703.361113525816,742.5771299899384,761.569599082888,774.5900544346327,773.4058311998527,769.1376096968839,751.8246757816083,741.3697489838529,673.3504828503278
bee33,614.9748807149888,653.2255032540048,689.9374392941146,719.476494068738,753.2924607424226,790.9760226195956,830.876801696524,862.2172689965562,897.1196292771917,913.7219469136095,917.9021743235229,924.5789643747959,923.3912901605502,931.568884113181,927.3812674363003
bee34,485.3685439487093,483.1876765643355,492.9518914361331,485.1281396452269,474.16450446248945,466.5696986230771,451.87290736505753,452.4521508791389,,,,,,,
bee35,456.59252937741036,532.880153417742,610.0317345538145,667.0765060273533,706.165005030124,736.5919040978388,741.7748455666809,748.9789280212927,725.7174969330686,,,,,,
bee36,460.22334013882585,467.21269637126295,494.0491165354443,514.1852639923699,529.0867197532497,534.7933988080526,533.4530037488548,535.4732588912506,510.6064841446633,489.16227249456114,441.8416301433098,437.4381557389431,429.4898116851784,409.04408490592385,358.6089994605661
bee37,407.4520892516658,362.7692990394659,329.1573301882759,298.888123914504,250.46327909965902,210.67285039106142,162.32125165250318,140.17223485848064,119.8854859891076,96.45997203811599,,,,,
bee38,308.10193305234463,403.47859631403225,488.90346758235825,570.445733759887,636.1936578067845,677.2240511888701,720.554154539253,752.6975242693704,772.9124426090096,777.7206031568127,779.3910465707014,781.7198090577681,778.8131255387735,765.6416049029505,711.8943180452089
bee39,266.74787752603953,298.22797462138163,332.85908237643133,348.1814637177045,364.9248455251716,375.91667025223353,376.7412675265769,375.44208233287685,357.58544247422344,336.13573956850445,244.34040666971245,209.78814329628858,208.95550824039114,,
bee40,418.7264974136212,446.07802824054545,475.27950009772604,512.8240438999519,556.7252152439879,615.2523624008196,673.0147945977412,711.5660079547425,748.1727439943297,785.5314840391413,822.8925367761194,836.557469309875,850.5816948956337,872.2061867788595,868.3533381799477
