bee,frame-1,frame-2,frame-3,frame-4,frame-5,frame-6,frame-7,frame-8,frame-9,frame-10,frame-11,frame-12,frame-13,frame-14,frame-15
bee1,587.4618745473099,613.3104363680961,,,,,,,,,,,,,
bee2,496.68309968119144,517.2769527208674,537.3889332404167,572.6034029452426,622.793085791092,666.9398874284494,728.9389709156837,,,,,,,,
bee3,398.26979192564164,428.65970496558174,466.846673102162,527.1641982406635,597.624039388827,663.250635910487,716.9686654348038,763.8658806860461,,,816.9637067928633,837.4102945221906,883.0052189739615,,
bee4,417.45193492164066,408.40471367369355,404.8086306328489,422.94143585355357,464.91532777780446,509.5428503312859,573.9374090612062,625.3894534207716,674.1313060766778,710.4265850773297,777.827379370748,811.0656591357787,861.1131023473592,903.6771398645948,
bee5,368.7522523239205,354.38295259776066,351.7641216163408,380.69971136473976,422.75084679234976,480.24145875857323,545.4277464630828,599.5575929552,641.7975923294589,677.7784102405467,,,,,
bee6,358.03174216130856,338.34326649247146,328.8914435169387,352.8373139224676,393.07382280982085,439.1593556368202,487.99458749162864,534.9456403546352,577.9513628133234,620.7910403469385,697.6653699660973,723.6038541376822,,,
bee7,390.1566636906542,377.59618002764233,380.69971136473976,400.12965148468635,433.9788243998027,432.14957814108436,424.0376824107174,439.7758267319588,467.15601180868754,490.5869780073638,555.5007689035187,591.24920066242,642.6232781658346,692.7819606435644,787.4410727620843
bee8,634.281562192355,639.527994884842,633.9394976605429,632.9684079691248,640.2494905510597,637.8682131434521,639.1719716381863,639.3724686246011,636.062589124648,632.0650068145728,,,,,
bee9,461.52554631783715,474.7905826716552,501.86551846909936,545.3538638010082,,,,,,,,,,,
bee10,196.72385302352762,146.79065559716227,182.1840143623014,298.0057746100908,430.5107503568749,,,,,,,,,,
bee11,357.04861092351877,380.20507425741124,434.62237049911687,490.7101667624794,,,,,,,,,,,
bee12,319.7435529347653,368.01333324089313,404.63916422362524,455.6929181645189,529.3721855526248,,,,,,,,,,
bee13,162.16661485625488,191.56152063125026,220.30033122908225,259.4658568370751,317.9001857827599,393.9398615784729,465.1964642416529,529.8384074387743,568.0387648820978,598.2212430971753,,,,,
bee14,205.3907414002619,164.84862324904506,152.6907720829478,199.3473576414502,275.92126518559354,357.3570296485461,434.63026085264016,503.1536348342459,547.4352533888818,577.2374016231513,594.3441994626029,600.93947938833,619.5081072306917,649.7394486761449,691.6028281313537
bee15,169.24446811131696,192.49017932300453,234.45497606676884,313.93122188041536,,,,,,,,,,,
bee16,453.5884207278459,439.9034998306302,431.91640772809984,441.5958092085594,452.9784452700666,466.32115369275743,472.6142163867527,470.13427291349564,475.0794100107756,477.513025985975,510.73943141668707,533.6523287273318,549.6015828423584,566.2618076846167,580.881088955539
bee17,210.52753974988943,248.41403665590585,265.0882426778594,269.0942104570608,262.61387888441084,252.18183719757792,248.33119285403376,238.6123866362377,244.6845762162676,248.5227272370894,294.08900046081953,319.84140660213006,359.4036078850185,397.8605765953434,426.75543218874935
bee18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bee19,113.22828585999557,108.71647978425526,111.51931190290611,116.24335312944314,116.0181859827932,119.96012712049537,117.60352821709189,123.90812561718602,139.37569009837333,158.6038408314081,191.89018993461153,210.8042766945261,223.271058819649,233.39946152888905,243.15386019072693
bee20,91.6993955788144,166.41599189584747,256.4311278794955,339.03155757070215,421.5713580917433,503.66723211241396,,,,,,,,,
bee21,131.4878715192125,161.4309565651791,237.45642396754562,325.0103666367251,421.7010727215818,,,,,,,,,,
bee22,204.49962352519836,263.6490474294239,327.9344377125656,388.46307119740607,448.2317083588075,,,,,,,,,,
bee23,297.7918851458356,305.13826424788124,325.63575316623655,342.92562694239444,359.93244003283144,377.0254364269027,379.6718924795556,375.86842824913555,363.3189907711036,343.56791262511075,275.4050968041209,233.74824710239778,204.70820544182664,179.5577939008443,152.89886492260354
bee24,311.8017026625492,304.4121240884591,304.50824128401325,297.40701377383425,288.5219243405357,298.5558369566623,319.0684251540529,342.73653504668846,349.40010630748367,348.3962491036791,374.1275942753741,413.3955763620921,471.9716069158713,547.4253643718919,
bee25,314.78916017472966,325.05884433414286,374.87014433204115,444.22292550632415,518.8172296571283,578.6113304910419,,,,,,,,,
bee26,574.8321251177414,565.6157027038794,569.2744006202254,596.0010390671583,628.2328067285338,,,,,,,,,,
bee27,542.1469793251167,537.5510410902958,534.0161874735878,542.779915207873,551.1772487959071,565.374274678311,587.8563556920977,617.0100877866391,650.899418727578,,,,,,
bee28,342.39805011050635,295.7093547706101,253.49123613480842,235.95137340957368,260.85535569698317,290.4749020197455,321.5479946227779,354.19296143430654,375.10717781580433,404.12915158020604,465.0660623919265,498.97785378419394,533.7144769662601,581.5902844075661,654.916120295829
