bee,frame-1,frame-2,frame-3,frame-4,frame-5,frame-6,frame-7,frame-8,frame-9,frame-10,frame-11,frame-12,frame-13,frame-14,frame-15
bee1,526.4741860595879,552.4861194713444,,,,,,,,,,,,,
bee2,411.61234875982217,473.7212952457097,535.145134987403,596.2991718357167,656.3012342009706,705.2304344726248,752.5773046347485,,,,,,,,
bee3,311.9834551203981,390.5267537629962,472.2993764131172,557.7994806657689,634.7564960895211,701.302555498283,746.0532873358186,770.2156628844532,,,689.8850324689552,671.0976717647075,660.4188979074613,,
bee4,304.7196759856256,346.975220787995,407.23586455850864,472.83003729680297,539.6464383868837,597.5465671082261,655.5012794020071,684.6275258185049,702.2188281290064,710.6540294122664,691.0968697671263,669.9795515172856,644.3253668190276,616.0163682734377,
bee5,278.557547501828,329.2978459246125,397.5760316722066,479.71542204249045,540.3989597189236,600.9715784747484,652.1805778868606,677.8543014886305,687.0857025790992,699.1482668503016,,,,,
bee6,249.69803436876887,289.3174053570299,349.6863183797769,422.0567008241457,481.02988080545384,533.8836217157735,572.8249552483561,598.7648752702004,609.3612714327068,624.3034527354416,632.0826398888313,625.4470280613992,,,
bee7,449.0740740740741,468.333662844223,484.6494780747004,500.2639906655815,519.0052279233773,506.7488629991108,465.58700798319484,442.26801208433733,420.42543284346937,407.41687699432384,380.00545985536866,367.58676177855244,357.4709692089142,349.26068300247886,399.04829340117766
bee8,666.1861694343999,685.648617050381,686.2035725173164,679.3268070941722,666.2781789890632,645.5198030940312,614.3488863698,573.9194833669641,519.0820350600519,475.6132781975344,,,,,
bee9,524.7811288491223,578.8903402744772,635.1156694494688,690.2720334112772,,,,,,,,,,,
bee10,135.60626960672926,261.0076627227637,390.7155073474251,530.3575676087693,653.2563257715104,,,,,,,,,,
bee11,463.88242029939624,519.2752414722231,598.0263033793811,661.799361635933,,,,,,,,,,,
bee12,404.2141268642808,501.971422136734,565.3071624600818,623.4617558780362,687.9424003706335,,,,,,,,,,
bee13,216.15363445934992,305.7126420001926,373.3273166034858,429.63362067111785,489.62574240626486,562.5927754614092,622.026534484016,660.4156524638134,672.2177583771797,682.6109048808677,,,,,
bee14,82.95180149787049,184.76108845738082,286.59015391972406,377.1656715006993,453.09955997361686,524.8979259317589,584.4353200714778,628.0290112387133,641.2997989230663,647.886852092134,611.1286473353744,582.9047514350366,547.4109782873558,509.0353042914501,468.7792057659698
bee15,330.1143439927131,379.64769604707806,446.9192287004077,540.1133156014453,,,,,,,,,,,
bee16,308.9277997518734,302.84714348701414,312.55315048689977,331.2654479147612,339.5927218525947,344.32743930673547,318.144159850826,281.9212573327467,242.64206450606218,228.99029876240965,274.61938993422575,322.8946793257823,368.10650707193,418.70898648525764,476.7439647820455
bee17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bee18,210.52753974988943,248.41403665590585,265.0882426778594,269.0942104570608,262.61387888441084,252.18183719757792,248.33119285403376,238.6123866362377,244.6845762162676,248.5227272370894,294.08900046081953,319.84140660213006,359.4036078850185,397.8605765953434,426.75543218874935
bee19,177.0069128252585,221.48798454468817,264.4471029018775,293.671825835298,313.00405165295524,316.53262270193864,318.70418791793975,322.8628157673358,342.2884034932835,359.7004736263538,423.0144046683604,463.59956232055845,525.2946785511242,585.9033626315313,641.5250231138355
bee20,296.1009193808115,411.01274370815787,518.6133461659564,606.0762264363862,683.9561037786374,755.8187325172253,,,,,,,,,
bee21,279.96386696115064,385.35393825035857,494.36510989159484,592.9951201916377,684.0010555159719,,,,,,,,,,
bee22,291.790332395645,347.24687013880913,403.229624831309,457.56479616504663,517.9244565662638,,,,,,,,,,
bee23,459.0543897890929,507.7208499618821,554.1292372669712,587.60473047643,609.8241055576538,623.2619907173129,626.1554560332595,614.4406376520731,607.4642994378721,590.8773041320583,566.9689874461869,551.3595123822188,561.0805866639449,571.4434592341124,564.3175376258354
