bee,frame-1,frame-2,frame-3,frame-4,frame-5,frame-6,frame-7,frame-8,frame-9,frame-10,frame-11,frame-12,frame-13,frame-14,frame-15
bee14,257.60217784440084,276.7341506273788,320.94788452585044,375.61107048230275,425.8534559925464,489.6056053948108,562.3145937390932,643.9234004747866,714.1836591800324,780.2940997022714,873.6590744257594,902.8138644259543,915.4368855131546,927.6594882823516,945.4986853826697
bee15,468.4416567021788,437.89346406524066,457.4805009824457,529.1048941618883,,,,,,,,,,,
bee16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bee17,308.9277997518734,302.84714348701414,312.55315048689977,331.2654479147612,339.5927218525947,344.32743930673547,318.144159850826,281.9212573327467,242.64206450606218,228.99029876240965,274.61938993422575,322.8946793257823,368.10650707193,418.70898648525764,476.7439647820455
bee18,453.5884207278459,439.9034998306302,431.91640772809984,441.5958092085594,452.9784452700666,466.32115369275743,472.6142163867527,470.13427291349564,475.0794100107756,477.513025985975,510.73943141668707,533.6523287273318,549.6015828423584,566.2618076846167,580.881088955539
bee19,473.5276074968897,479.0554979290206,502.15243151047196,534.4902896073036,558.7631169381888,579.1864653038957,581.304526035215,581.1872633812601,584.1653384626477,578.5903592705964,559.15193966611,561.0545748317566,577.1869010925898,601.1256302301675,634.6666709893834
bee20,543.9418819313946,594.2567041135027,660.4729030238798,736.7344410373872,807.8666761810529,888.3441836457946,,,,,,,,,
bee21,564.8059805016455,601.3233038983641,654.5776191660207,718.3017468022281,787.3192596682528,,,,,,,,,,
bee22,595.5649990038105,634.3023197646773,692.6607841854687,766.0604618683038,840.5651824857588,,,,,,,,,,
bee23,744.6003383850845,744.1658420962527,756.7854699603969,777.2747815203551,794.4699482997485,814.5340996568676,824.6082450830658,823.8555301661536,828.5521188819205,819.3999932727813,780.5429712441329,753.6376322551056,735.147089749116,727.5657266510121,723.3908473561532
bee24,721.5703135669627,713.0671094640809,719.255959936097,733.9531273419927,741.4996694350144,760.0853295587215,777.545571844312,789.1269462390434,799.9018977583199,805.4710212870099,861.6023947208674,915.4319496607214,970.8235123099591,1037.8965365965994,
bee25,676.9294681139958,733.0342739550996,802.6341198325769,884.6697188753939,958.6998781838108,1019.6899996542867,,,,,,,,,
bee26,121.37613850816244,133.37953409116093,156.3200550764491,198.33193120670632,239.55914326819632,,,,,,,,,,
bee27,97.05216983448204,100.60415926835444,102.25608911166374,103.80335421288758,113.7452545767075,153.2759552249517,223.75795526177092,310.7819068623345,413.7241402980631,,,,,,
bee28,309.61142055328105,274.9111808616727,238.5974440428043,217.52179994807025,192.940732607374,207.8031047186255,239.97611870919894,290.4613368693625,347.1862930393544,409.0069950036713,531.8811239702275,570.2968009724245,592.0270910204799,630.9024234369169,699.7702182322986
bee29,501.6848019206599,535.5844790092583,572.2915147849151,628.8175979473563,677.7726805814497,745.1383776453083,796.8759225641355,843.8681635705011,868.4640619634492,,,,,,
bee30,629.9916238823909,606.819008238676,591.0632169108026,584.6475416168596,563.3332440663241,541.5155410395658,503.370713145929,448.06226800882064,386.004936600003,339.04660750668614,279.5553390144507,267.8277524499011,257.86122267703007,264.25822851652464,377.6073656863289
bee31,694.2036712852281,687.9522996469522,686.0032393639591,706.5716664147134,728.6125802935813,771.2408424686511,817.4575465563543,868.1756046548659,908.2795800973535,950.016268238182,1023.6744684977657,,,,
bee32,785.6456530821696,760.0001151376324,743.7013374518914,724.9705258319731,710.397795011678,691.8796854671592,676.5936138674724,658.5978619600373,638.9070715032178,612.6689156424959,590.3252944002777,601.6121445191438,621.0888215631608,658.2772012443776,756.34543280603
bee33,792.9668009637844,799.5956990555298,816.0428476387673,825.903479613609,834.2726635594527,841.6143686358615,842.9265742001253,835.7208150099868,827.0130298116997,812.0876739835002,791.5641820945066,788.3046501445077,795.151413091316,812.4897464497523,846.0988652378469
bee34,233.52958924831321,207.0732090096492,184.00881885508488,163.68110390372095,180.92485698509338,243.87219125753717,331.9117604665639,426.8936991843251,,,,,,,
bee35,234.41000880678274,276.2846430321313,300.82348790822334,296.01071030256,280.57367686684364,248.45304175322758,198.00353942597258,177.57381285689948,213.40369020810343,,,,,,
bee36,253.09719216348023,223.5889272612707,196.24654906601938,156.1399524590147,110.00154811286609,45.20069620764735,56.304812341523046,141.73999396453883,234.41388079034743,326.1170524415951,476.5001303897053,512.8399594591147,545.7453404052007,584.9281485182408,677.74182315812
bee37,216.10713676269359,125.56624830801256,42.86086761747068,76.99999397947464,178.28916705469481,282.537840847116,401.473388063777,503.7530190924923,596.5248378267023,694.5669608611514,,,,,
bee38,248.13364388917375,275.42500167865774,291.0199234572354,298.5267716087652,301.8778340753639,274.4295265246722,236.63588963306492,178.1699655305425,114.08349186793177,51.71123085588916,107.79405051430629,153.4625671606866,178.91934698237372,205.60157664242035,261.52348044181304
bee39,300.41775202499946,297.8250915313665,305.5993922063401,317.25656944113535,340.9697985343742,372.6129972367992,410.40235506959925,452.97648037840446,520.6984007269518,587.2865718614396,759.4152424857697,852.6983528727275,928.8281589324654,,
bee40,505.3547673618941,485.5593524296122,471.9835000390311,461.86532754720884,455.97836226638935,458.52533534932473,448.3098663729459,422.660518132279,404.9528898363684,379.741741795187,331.3105794218748,308.33598051825794,292.8388410252924,301.23569905351945,314.727001687793
bee41,720.916401126578,741.600003977022,769.3644038852278,774.3939595885312,771.924161752911,752.9186753461244,733.1426729862668,720.7218189642366,721.4899494772384,737.4389844831933,791.471534828741,840.9649190741585,890.461281874721,938.6498080213405,
bee42,784.8604328717676,793.2897530614626,817.250428295954,836.1017166397877,843.4237497229778,830.7128341970499,826.2724636290553,806.0639886288873,784.8430118543788,737.6085415752541,644.2414687783673,624.6468623565006,634.1861067352692,654.4344675468241,680.2041545116667
bee43,337.20223171123575,353.07557500475406,352.15256979632017,343.04040041833457,337.0620453935637,323.99294864764965,306.3267500466081,295.8188446764502,273.56329336271506,256.5237215445932,257.8763619302835,266.62312818571684,263.38260426273484,260.3649184187659,307.1709711749575
bee44,344.8368030713141,301.52087146750506,267.07686179915595,220.71759488216532,194.3299367456128,187.24485717300252,,,,,,,,,
bee45,402.69576096730515,349.7659311720927,276.21989085714654,201.2388074422237,128.2694861704151,91.43483335538335,151.82325570840226,242.2268104093184,363.35782255473146,476.8221611628842,704.9911386562701,808.9232448656431,883.1089895351715,962.141143855253,
bee46,422.65447391865797,476.70555520481986,514.617158260404,526.0918614566373,533.1052290979525,508.67671264004707,465.0517408534941,410.2496983465157,336.93101266252154,244.49223048468772,53.95803339256059,93.46422674423123,177.12150653439912,270.04323207839985,473.77414370559626
bee47,475.0497858178465,547.4792809415155,611.9120634712489,665.7962012330265,707.4794141719415,738.4162817432067,768.8316473597656,794.3884315879943,785.7744790656869,778.5170890891168,765.4291866253619,787.210632644223,810.565456743761,812.2334156391704,751.8189671532331
bee48,478.80410767268614,423.98417889770025,369.53087250895004,319.965444868371,275.75036421895413,242.4219312901064,226.15627308610604,231.25998219791578,235.7993944492312,247.68175465882746,250.35346877995863,245.4135129160981,246.43043162275498,250.75961077384173,266.6394308082171
bee49,462.9553021095924,439.5428354836895,408.1961574775713,353.602687638935,304.68644179560425,271.49214434244067,248.1577065142557,215.87203976273616,241.24998888351868,302.2352838267573,432.5686673548495,508.6031687014885,534.9186236183048,563.0157237194792,627.893489069084
bee50,489.08164430954406,440.625548929816,378.514092207226,333.96383761110957,308.9930794652434,313.4400346544983,332.3459482929891,367.31791833043434,419.71448757966806,484.2972975625122,626.2450496488967,712.2553923089097,776.8661853130563,833.8839572481376,953.0764748437599
bee51,460.21851758795844,442.9805345120517,418.8583497207822,407.0794451940893,394.6557793789758,381.89751094722476,372.22635439048946,363.08112377141987,365.0009674326867,365.4817090050884,425.3009550469605,482.9874429194308,531.636842890862,602.9550625897944,745.9043583571988
bee52,533.3645405876366,498.4300381246875,454.3470406842674,390.8211356613721,342.54743050661074,293.6369769447723,269.7675295777386,271.2875652959484,308.983607735431,384.42020004744666,570.8974330301374,658.7622410061829,733.5577654944129,796.3470041771474,968.9619773709834
bee53,627.8099065209449,666.208648385289,724.1113252023363,771.4520509284666,821.5429751357551,865.3042375063989,884.2879087317356,905.0645983946498,899.8184411326655,889.0009700976775,839.6504043781396,793.8014155697841,751.5351313300907,704.5971391694519,611.7176531443647
bee54,676.1387448686713,713.6143713503279,732.9073143834311,737.9172320219228,737.7515797039,724.4629816005687,694.1197234225252,661.7850202213493,616.4413513596779,562.5541448244787,496.2184992596323,482.8836425688518,501.5494569513579,504.61787346707695,551.278403820725
bee55,766.176218359394,771.8182051465074,777.6284822465158,794.4108639972143,794.9530053655703,799.086121620457,803.4385774811185,810.4480996021032,791.0184827641152,757.813015893739,691.4661948244717,662.9294423188879,657.3487229459731,657.177068216679,657.7590652512422
bee56,831.6742527537775,816.9285287642176,796.3223772561814,777.2607097576067,762.6661420992873,745.7876594775257,726.9166665070694,715.3394219068202,691.3249423955232,680.1612129254144,686.9445420085086,716.3199062583825,769.0907491656006,828.8172942744815,966.7299639256369
bee57,621.8737693066128,656.3716683289214,699.8551528337448,722.0999310425823,726.6296749742196,719.2328615696302,708.1480574864142,677.1487407355485,641.3568723457553,604.7576948826364,528.2897345768141,496.5516161937063,488.40018434217643,476.09871764636057,453.47839590846974
bee58,724.1015809856153,653.8164697226615,567.5228455982755,473.3153477214621,397.4340070597828,,,,,,,,,,
bee59,785.7820566094726,827.4440024290477,862.5731321545031,879.9749641712482,903.1551425082638,911.7075392757106,924.5602316749712,948.470824022604,956.398426648484,871.1057309826011,634.2179950293707,,,,
bee60,768.6319659242072,822.2742416821468,863.310202999412,901.1104803464885,921.6112579084885,938.0931698638553,943.8263872837534,947.3666101435316,940.7102099957542,940.924815046281,822.4888534390665,691.6214871667127,569.199311360055,447.2530179949184,197.53750334435392
bee61,768.7185414909007,820.2756061264879,860.9059909282458,886.6904668435168,902.0919303119244,905.1400344917047,881.8784496403706,848.5482241325573,801.9636304713906,756.2786085230246,681.1773481073097,652.7026623661371,630.46325817104,589.1683503913774,
bee62,854.8530085944585,842.496543175156,821.0430918529622,789.6622193990237,752.3278027962768,697.4618265701885,623.5124097113364,547.4824895082485,460.96057720450665,373.42608594679695,224.05036925489017,184.7384640683374,181.58437834225492,212.2672390499865,326.100204017692
bee63,868.997013569813,905.8454399003047,919.7342697163315,917.6354447665303,898.2334660030446,867.7602421824078,826.8283341386388,780.3519290580712,717.8783553292102,645.903611302506,498.7176138449303,458.83802381436067,461.835799950106,485.65017889950786,556.9418124181989
bee64,947.9497043048145,977.8379253252247,990.1792737061672,986.6578992725468,992.9402516142707,980.6593483993978,969.1567006600624,962.7596307215365,949.1639706260224,938.5731843977968,917.1232901979878,923.4256497625028,935.4569575141542,926.7668475056021,860.7083646297175
bee65,1307.4170707262015,1302.7766118387583,1277.7861163245022,1230.8460970679307,1172.2714758619688,1103.8841331598096,1014.548808249802,925.6588350040574,842.558682329693,761.8197049080114,627.60591956897,524.6656150136301,433.2486531777687,332.1367648941278,156.9130272411948
bee66,555.9486990433342,583.0461220623114,620.8946512216033,651.915560734577,683.3064709757648,717.8085178728884,736.0278705970773,745.5414597969714,755.6033579418339,759.2689369644509,771.9703479301074,797.5858510733887,838.0892366517982,874.7265387143145,907.8767171058626
bee67,574.1319516899952,537.6605000804703,490.6214983117005,434.27532678395465,366.64718716123474,307.34530990184,252.00045418362046,239.4449959634524,270.24657290907004,332.40723702011036,514.0366787205737,605.9104922925852,692.1143890958681,780.2342829876134,990.0185135225423
bee68,632.5325332614756,601.5041003215571,,521.7338837719282,470.78709322750973,420.3888536494593,357.57762520472465,303.8017300355994,265.60229259914246,246.06664955356925,283.21679391458963,331.82758865347137,387.3596410586253,456.77392415604066,601.5041518062264
bee69,679.307072850604,654.0866177925224,609.3180037078528,570.796054063156,529.3963824800478,490.32309218835167,446.3839212626986,403.73913090940323,352.8083027753755,303.4582939720744,226.60108162550176,219.49595101624087,227.26198988076487,230.34723808483733,218.67369273843104
bee70,585.5027575249362,575.4836226953241,560.3274684751397,548.6289344763649,527.1461001372256,498.9341889047817,456.27183622436144,407.3747006562737,338.7248707503238,268.42840063552046,170.91608827953905,173.00430517744556,196.2897976464175,237.40974242302897,324.5714497006326
bee71,622.432274940513,521.9918773341905,429.3232388457277,341.1161340031318,261.0133074470477,220.116055109164,215.8028363547667,254.28059724492098,320.4951497492658,389.2827369803413,517.2799538620757,552.54548403647,565.8772422441597,569.0839855749537,557.420576562767
bee72,574.4777588268776,542.1081881170553,503.27298589512543,466.16741323467204,426.2485122529833,396.4345548192385,369.4431645962159,347.86487871567704,340.78528301617155,329.34148639704904,307.01793126182724,283.58525121399316,248.69343277617241,222.03744794451364,184.32253530962714
bee73,641.6555822342069,689.6589478969065,721.4512194272218,748.1093120417027,757.4175748359364,759.3261714837028,740.6043898329802,716.031656145864,677.6290298230431,635.997681588065,544.5542288451857,505.1829914463396,488.75168441373825,480.7116072126271,475.93890383651933
bee74,647.256806546372,666.6496858398291,682.4371089205326,676.1987364417911,657.3578373722082,628.7538195308058,586.3142880648182,542.4753291478642,500.30625613443124,461.5627192107968,405.2807739886335,388.01393003329355,390.5184501060588,402.2971422222204,402.07773433778397
bee75,747.3725386557569,796.5652160490497,833.1791250164983,861.0652722249739,872.161386352719,873.1270429630498,855.2861463049636,823.4409109671734,782.9512357232823,735.1875369750302,648.8500746169212,631.8061003343686,632.7778333026031,644.3802221125814,613.9837476868861
bee76,777.7890778881087,762.0843898081705,742.5392847087803,714.7793302120857,686.2650878159589,668.0016603089712,650.229154555065,624.3902793277825,581.2781085858882,515.8965971198342,393.04785217554826,366.63044100627434,366.0199102134066,388.4622216664058,476.6759044388034
bee77,812.2408011645038,872.2559767274215,912.6058961541468,942.8062716021253,965.1426419240443,966.2121455238635,949.1461852092151,932.1127333193652,906.4552890634988,879.8258900751578,811.2823917183586,778.8476097419716,748.6620405076644,722.2123761820419,660.738406280058
bee78,1049.5731204112226,1002.7899895023057,962.9866720236524,929.8125999258345,903.0737677174515,870.5146571868515,836.6690181205315,793.4147925415898,745.9411174974256,692.7100146257162,605.879263993347,580.7843230504795,591.078694716161,596.3935306303493,598.1261838050376
bee79,1020.552994196066,1006.6227640294525,985.5075311715032,966.8424515936924,936.3820784120687,903.3946107010945,848.8262314206119,789.8592813353703,709.0627009180606,636.3736245691205,513.2346476606469,476.992027705484,467.65086290995254,475.99972410893133,513.8214102320272
bee80,1007.2418463253864,973.9780508718399,933.4841468592793,901.8210797031866,869.750092128032,839.8235485827756,799.3513945853241,754.2880094293411,708.2716256868888,666.8957977594118,584.1531533445753,558.8660593765221,536.8084208857356,528.0060069794433,554.0641536274352
bee81,897.4658182924753,894.8217820204272,891.4897263004062,894.0170509532983,886.9933114390584,869.104879370881,822.470881024301,778.4252710659225,730.8239044462858,678.576407894112,600.4139942274654,592.9540860394864,604.4795885885433,616.7679836341126,607.1759922999523
bee82,892.4176472063833,914.4959922925568,941.6928279348842,965.8021921813777,977.9962781072385,980.9444722424206,976.8245061384671,960.7750755765225,933.0188859901486,911.770871205203,890.9152531547985,902.5212914103486,927.3640742071562,950.4876732267867,968.172582282793
bee83,1050.0056322303192,1054.0800724288445,1058.538726287025,1050.8028238660597,1039.8676371991794,1021.9743427598465,993.7031673533185,949.9837650114162,904.1559265300015,855.5777433045106,759.1746482628718,731.1719041097397,722.3362462194694,719.3693949238002,704.2389981664384
bee84,935.2327504645858,935.9846713998686,941.1798560130906,942.7010874400167,936.5526601751934,930.8034084129749,910.2673169981153,885.4198473467651,853.799038368495,814.008070434863,751.3891341529235,737.5997170005925,739.0823270653484,745.6485898866836,758.303432195964
bee85,959.500032696271,962.1273920902593,965.4432639052709,966.9549821600401,965.0091796780804,957.969030577378,934.7146081521623,908.082203089603,873.2637956661753,833.5458900852019,768.562891130483,744.764337824959,744.5302794712395,748.3921469010154,762.2998560378837
bee86,1049.5157773576605,1048.9195376548712,,,,,,,,,,,,,
bee87,1210.848112139299,1229.1281768015936,,,,,,,,,,,,,
bee88,,,599.6137613806488,578.5475345449662,536.1867265677548,475.3809699033197,396.51288385201894,320.7580296627663,234.79599276898813,150.35247546952138,35.10298662063402,99.41523307714013,155.05738272486667,220.29942854593506,397.6954625494969
bee89,,,,,,,,,,,,,,,
bee90,,,1335.8352506684835,1340.001431004427,1321.4451875192399,1291.8103092147755,1244.950099155859,1173.9282456804528,1084.1426255002823,977.0413852935471,810.931958523224,757.6582438209282,723.4502228992925,704.7965012575165,696.5009734689339
bee91,,,,1264.7160598407152,1265.9298334638372,1258.0451335843331,,,,,,,,,
bee92,,,,,1386.5092888746879,1301.551983436619,1218.1940544517054,1132.3770882252375,1042.9158459124487,964.3154640066783,820.0784745046765,765.0964549416115,732.3597644081146,713.0794129185604,691.2818020401829
bee93,,,,,,,1395.0684033825603,1243.904839591107,1090.799387004345,947.5026879478075,709.1469613618133,630.4359345017476,588.3148053666882,580.4706827043932,617.4615024949236
bee94,,,,,,,,,1161.4022216701337,1043.5532441252765,812.6280548464761,717.42409876996,642.4248773179945,567.0631948532476,415.38508272237885
bee95,,,,,,,,,,,1004.9994233547606,890.7403839737987,792.6839701565875,683.1578908245991,468.0035573438589
bee96,,,,,,,,,,,,,,902.2487407873666,695.3923314069099
bee97,,,,,,,,,,,,,,989.8513224641274,939.5613583668447
bee98,,,517.8020861619993,447.0621840809909,379.28795120554406,297.86376202373714,218.70777353951067,153.06070909224619,157.76563033514907,234.81652220605372,421.7995610524888,499.8401268523797,554.9692011126248,605.7070056930393,749.7262328165699
bee99,,,857.9316284116494,889.108672859452,912.2076374251247,942.4317364191814,966.9624504697556,,,,,,,,
bee100,,,,,,,712.182499080442,703.2456356024588,700.0121939425229,701.7985543674779,773.5740961920242,829.4648633690173,893.2105882240302,964.6778528147274,
bee101,,,,,,,,759.5746224468047,747.1294944343671,730.5594747085669,690.150254015107,656.6084975579115,607.891230070141,559.2271046666714,479.00232804064996
