bee,frame-1,frame-2,frame-3,frame-4,frame-5,frame-6,frame-7,frame-8,frame-9,frame-10,frame-11,frame-12,frame-13,frame-14,frame-15
bee1,570.3561122486549,533.8183765127479,,,,,,,,,,,,,
bee2,449.1758646550348,460.868498583034,452.134918121867,441.8956193879252,433.1869119486311,420.2946331727065,439.62389030830406,,,,,,,,
bee3,362.62043190176684,382.1608601249596,389.13769836491315,401.88278813489654,410.87447093867644,416.37313136384427,431.7316418456377,436.5794602624129,,,382.37696649262483,382.5486737219412,404.91140247554074,,
bee4,336.4025172079109,335.57273865608397,324.1698640884851,314.46880412382086,315.21589808378394,313.8233167906272,344.4093106629007,354.58519050132503,380.77958517769434,386.797493971307,384.3858772132376,383.9135107236618,389.5332803432229,373.9838911676196,
bee5,332.8178322510087,327.48964005629966,316.9727875210002,323.6411643804624,326.05247691194273,330.3174332156839,352.8837197883954,357.5386980805709,373.1989888942893,384.9368563261022,,,,,
bee6,297.0455917681199,285.07583542315905,268.18089373731954,264.27067202264897,260.9009322852048,255.43757513535041,267.12966833448337,275.2038558384534,292.8562515342852,305.1216348193817,333.65565026757344,356.50836070432507,,,
bee7,557.3263344245125,483.2392980329221,408.4251957108807,343.8746097667962,296.6720540560179,222.81146086957142,150.36156039179465,105.6434211019872,97.70245232408536,87.19949207587243,90.724821982089,92.29687633877587,110.02553855570315,112.41705989339877,135.2052753257605
bee8,753.9657967692978,686.5176433773345,603.4668379693492,522.8372395699475,444.6242042554329,369.38992911581556,322.2463064633678,285.88893631230144,269.6851110704938,254.84321163209717,,,,,
bee9,630.994308187898,593.3845542908281,560.2581723558603,537.187847618997,,,,,,,,,,,
bee10,248.9854975278064,292.45605675484893,342.32641068069057,418.63932851149167,497.96648429031643,,,,,,,,,,
bee11,586.1448655961201,541.8564656815302,529.2238257070492,515.4740403962911,,,,,,,,,,,
bee12,522.8666698666132,524.0241509523058,496.669957815466,477.1974446728201,483.1352428325085,,,,,,,,,,
bee13,343.18216156141943,333.10276362132186,311.42074561440234,294.9764033852284,308.8062159277665,333.34620802627416,368.12815832391715,387.8258430361145,404.1353919964005,419.55500188001184,,,,,
bee14,194.0689856536991,211.89647879715216,230.5153768426216,252.90949007328848,282.62449718453195,301.31894110327664,328.93425837750954,353.795091383142,367.21308243810984,376.10528383394575,368.8469388422342,373.8299749821057,371.87254390829645,351.1064236968384,315.33374741516434
bee15,465.0977384866026,414.631012226558,396.2623714275836,423.5938805219794,,,,,,,,,,,
bee16,309.61142055328105,274.9111808616727,238.5974440428043,217.52179994807025,192.940732607374,207.8031047186255,239.97611870919894,290.4613368693625,347.1862930393544,409.0069950036713,531.8811239702275,570.2968009724245,592.0270910204799,630.9024234369169,699.7702182322986
bee17,135.96721485959623,50.43465370545111,83.16507030177782,158.50511617675872,225.67860274182124,287.8185157869159,316.9096362572041,336.6258828801373,326.4697636992146,329.3542047411723,308.93571495499486,288.5508467366772,255.90967013530155,243.01963934216622,265.70071777965853
bee18,342.39805011050635,295.7093547706101,253.49123613480842,235.95137340957368,260.85535569698317,290.4749020197455,321.5479946227779,354.19296143430654,375.10717781580433,404.12915158020604,465.0660623919265,498.97785378419394,533.7144769662601,581.5902844075661,654.916120295829
bee19,283.4962543972529,271.8372389632344,287.06837305495,318.62187214930685,369.782022983245,410.12928367426093,439.060085960166,477.070854501793,514.3507608856427,562.5877472463513,648.9134712184284,693.7632942255916,738.1296502129838,797.5379314456846,887.2543508462797
bee20,422.79815365873736,459.7262335580201,509.18216898042346,560.3392147394604,626.7844011407798,680.5414587091648,,,,,,,,,
bee21,388.61721911480674,435.51285465491753,490.8350922190672,543.8011025338071,610.8863827179275,,,,,,,,,,
bee22,374.4306291751598,392.87924399907166,458.1783019947838,551.1069708745246,670.7183444294702,,,,,,,,,,
bee23,558.271329870484,558.0481017068014,568.1822723902923,578.6719660088501,603.3604431361499,611.9251023622478,616.4716241794677,617.4176713412785,625.8373028411186,641.8379577112198,671.9694846241398,688.009706566091,707.9014009684314,733.2005479947894,770.8914813109143
