bee,frame-1,frame-2,frame-3,frame-4,frame-5,frame-6,frame-7,frame-8,frame-9,frame-10,frame-11,frame-12,frame-13,frame-14,frame-15
bee1,877.8116729948041,867.1500409996125,,,,,,,,,,,,,
bee2,759.0080799179947,791.7075297243972,819.9903410102312,853.2004536501397,885.2178114709327,908.5814872669033,946.4042328965882,,,,,,,,
bee3,663.7101185700524,709.2466486713031,756.1543257757788,813.620427393244,863.174317036688,904.6541708888939,939.0813899949424,948.649291505779,,,860.2234131655988,872.6726739193997,888.5029327441842,,
bee4,647.2533962652735,665.1950364730465,690.3482188088938,724.2654780805365,760.9536320127862,790.8708635889267,836.2685579335972,849.0933824984463,852.8900533431618,848.1341066092497,851.8094033009068,867.0699816304474,871.5900778204337,853.3695423603111,
bee5,631.0101562784142,647.0682248465481,673.5059280248981,719.8944993068053,750.6953077102722,784.9749842090318,824.9205289328808,835.7600937292792,831.4091943928165,828.7441838875719,,,,,
bee6,598.717132247418,607.8568370483057,628.3786070144077,667.7528227696802,697.8434170831254,724.2133440954815,751.1814218540655,760.3826679012155,757.3504798646246,759.2306033273416,785.6354277557309,811.3689880900749,,,
bee7,791.9278250447452,766.1964899871406,748.5875705247839,740.8307886992372,737.5767518029465,701.3834472360818,652.4378191422144,617.0331661536783,586.4083087653739,563.1440579094266,554.9487198458556,572.8388334580313,587.6012120504088,585.4223923679289,552.1548565891471
bee8,1020.0833351947999,999.9525214572408,967.0299731107161,934.5534931152044,895.8328543429162,850.8862997018521,811.417319557695,758.3983296829464,695.1441119022784,641.4394755816363,,,,,
bee9,867.8202040942236,874.918783141719,892.525689102414,920.1206736650994,,,,,,,,,,,
bee10,488.7253343577626,532.0554311157521,599.6243659765273,704.4907620943869,811.6331413982352,,,,,,,,,,
bee11,784.40193858472,797.6417372679343,840.6394942582444,879.2363190218553,,,,,,,,,,,
bee12,734.8456072388229,782.4835161723727,808.5685789021271,841.8475326149521,886.1690105537745,,,,,,,,,,
bee13,544.9005607403884,583.5918209205407,611.7523404201428,640.6261430844905,677.4195895717261,726.2084580438489,772.7524751814326,795.1583809144558,790.5324471159879,784.2969969198596,,,,,
bee14,439.9302951945371,476.91304935806636,523.2716196585371,581.2090452924206,636.9559032464357,688.2180448204925,738.0122748370981,765.1705538201234,764.1493446110381,755.569452255237,734.5454937937612,740.7824879017195,733.9793355899045,713.1291544079678,592.4275513832877
bee15,607.1619766829093,623.0995019741621,654.9629906395426,719.7399573429408,,,,,,,,,,,
bee16,629.9916238823909,606.819008238676,591.0632169108026,584.6475416168596,563.3332440663241,541.5155410395658,503.370713145929,448.06226800882064,386.004936600003,339.04660750668614,279.5553390144507,267.8277524499011,257.86122267703007,264.25822851652464,377.6073656863289
bee17,357.51890450356507,318.72765649020437,285.1330477084748,258.36121216201707,230.46057633994624,205.721656987089,197.23897718494712,184.51178921539088,176.0750129061214,165.83529731274263,178.86092308467536,205.74711514884197,230.1815949551627,237.6006097664994,153.21160274064195
