bee,frame-1,frame-2,frame-3,frame-4,frame-5,frame-6,frame-7,frame-8,frame-9,frame-10,frame-11,frame-12,frame-13,frame-14,frame-15
bee1,651.8544823179249,684.6200121545702,,,,,,,,,,,,,
bee2,548.6812347745183,591.7253492025576,638.5701029691537,687.8937954362764,737.2632492979911,780.9569066128313,838.9404979628084,,,,,,,,
bee3,446.75805987173493,501.89370469186775,567.9255563766557,642.5605713016441,712.000914173054,777.3422501941469,826.1962894143105,877.514025071697,,,1008.054411648991,1045.187055409514,1103.0016565359217,,
bee4,453.89073998141663,473.46332910320194,503.6560434968408,538.5610559388202,577.2292327192239,617.1266774956481,674.3570071659776,728.53426426713,797.847326656516,859.0397229126473,969.6531311697911,1020.7975344357046,1081.5563932705575,1133.5042838874588,
bee5,414.1829264596076,428.00318736554016,456.1517477875122,496.7400586534735,529.2612355145436,579.9475521435636,639.2578108219287,697.3746820669135,761.5981365105557,822.1659139878377,,,,,
bee6,394.29335482235115,403.3903387937033,428.1433823264164,468.6950699411139,505.1730000159651,547.2230055769288,589.9049294494423,639.1713009741802,702.9674511038086,770.245716410571,889.0938228267879,934.4079094749987,,,
bee7,490.69706304578176,479.9351950995038,491.59691211956056,516.027415505041,545.5904102416018,544.4460191461228,536.183868919457,559.146573145746,605.6355423444793,649.1533210987623,738.24115301167,785.55415858922,848.1466318925472,909.9067996711484,1021.5460055360267
bee8,731.4838255939937,738.0117554388822,743.1361730814295,749.170780737318,755.1072108401731,755.6514327330394,755.4068935083561,762.6803009299583,774.9911500003565,785.8384118902527,,,,,
bee9,564.4291336506118,580.4019526257616,612.9951317507085,654.8339039030893,,,,,,,,,,,
bee10,236.91041178022664,241.24768561830086,290.24491809996124,384.6974297845688,491.7773816894078,,,,,,,,,,
bee11,466.9320600439051,488.2290721435435,543.9253320115188,595.4675630592255,,,,,,,,,,,
bee12,424.6861990068504,475.579928993491,514.5416274897037,562.0583924187417,621.2914665595795,,,,,,,,,,
bee13,247.15112030670926,290.8881438087582,331.7581092794904,371.297450815606,414.0959793450539,478.6069821336195,541.8447000869764,608.4467733454694,669.1069022504788,724.5836276583314,,,,,
bee14,216.97706477697554,227.82482200122584,260.05169898580675,312.52023254119,372.98728266731837,444.86187958367657,516.1893786419581,585.7431119025554,653.6781287621209,709.5958247959899,778.61617070893,808.5433098793269,840.9630151599658,882.1275449088802,933.4692728750745
bee15,282.4119611047562,301.1864968727699,339.1898077059178,403.53908468318286,,,,,,,,,,,
bee16,473.5276074968897,479.0554979290206,502.15243151047196,534.4902896073036,558.7631169381888,579.1864653038957,581.304526035215,581.1872633812601,584.1653384626477,578.5903592705964,559.15193966611,561.0545748317566,577.1869010925898,601.1256302301675,634.6666709893834
bee17,177.0069128252585,221.48798454468817,264.4471029018775,293.671825835298,313.00405165295524,316.53262270193864,318.70418791793975,322.8628157673358,342.2884034932835,359.7004736263538,423.0144046683604,463.59956232055845,525.2946785511242,585.9033626315313,641.5250231138355
bee18,113.22828585999557,108.71647978425526,111.51931190290611,116.24335312944314,116.0181859827932,119.96012712049537,117.60352821709189,123.90812561718602,139.37569009837333,158.6038408314081,191.89018993461153,210.8042766945261,223.271058819649,233.39946152888905,243.15386019072693
bee19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bee20,154.85401771940207,215.5459464427473,280.29919215806376,339.2423005310785,401.5371150085771,475.25008270642616,,,,,,,,,
bee21,105.51477444834985,171.70002568597,247.42138116844842,330.9185990512294,415.05103954399766,,,,,,,,,,
bee22,124.16027961588014,168.1801861091687,217.83984860035486,272.64762791922584,337.6291864007186,,,,,,,,,,
bee23,282.2120757386717,286.23593034031967,289.91740783946165,296.09505369424386,302.114235451822,318.3119182285389,325.75871711510564,323.2255594990364,320.3683636543317,311.2248570945275,280.5882178724786,255.80615646681792,231.15343603348114,221.1447173795194,225.75647159896172
bee24,249.05817104676117,234.27671479549127,217.12572801739654,201.7215269427067,192.41295389078292,212.32502444523507,254.15195790906523,295.5318456232881,333.4149156072369,365.5077905095427,480.8618074031709,558.4246837126278,640.4872778530727,732.4298306054744,
bee25,223.07928859181035,254.46943912217384,306.0692359656793,374.9107191397953,446.0650916665276,505.46329948259074,,,,,,,,,
bee26,593.1902228347769,610.9847867949829,649.3711200386608,701.2972419449047,742.9092789819597,,,,,,,,,,
bee27,551.0774477988402,569.7698921182088,601.8086365525189,637.8051541537598,661.0884929971074,684.0916276847832,705.2130135958568,740.9181835330754,789.9806268704402,,,,,,
bee28,283.4962543972529,271.8372389632344,287.06837305495,318.62187214930685,369.782022983245,410.12928367426093,439.060085960166,477.070854501793,514.3507608856427,562.5877472463513,648.9134712184284,693.7632942255916,738.1296502129838,797.5379314456846,887.2543508462797
bee29,303.53617167158654,288.4687952195636,274.51004146188734,267.28560828490566,259.94737023365064,268.33675392482104,296.4507430454227,335.40223785314726,364.93056145610814,,,,,,
bee30,325.56256534969884,332.92699465859596,340.0172276844539,346.8694370434669,355.7637042966566,341.46915938561204,324.41753103740626,297.19390227543994,272.45186747341677,257.8575993852928,287.06223860348354,313.1855931327867,359.5832145442799,416.982114402193,506.9255184145382
bee31,434.03766665305164,374.7352113682425,308.1543399381179,247.13561828238468,200.16811174030988,192.9274512746659,241.9814895273154,308.1104128394262,368.5212579519379,425.1108934952519,519.2266913645075,,,,
bee32,459.90876116737013,416.4308211927438,367.3271219550049,314.2296826068745,280.1615799445759,229.88220811448306,187.90847456061942,156.83403598005648,108.41029890531267,66.30434675915261,33.167266525123786,61.63572174798763,106.98319550539756,164.64088426695062,316.150621840758
bee33,492.48072190103727,473.08359372878596,449.6717246613908,413.7775787667401,381.47754824700195,346.6522094295208,323.2369669304974,299.8909316279988,278.7896079102675,257.93633390232344,240.78650891187945,231.74363964468876,218.24691163508047,213.08903964958355,230.51966205190436
bee34,696.4979122311698,683.6207775219335,686.1468467917751,689.1799671048617,700.0312086276962,727.3655013852637,749.383236749836,785.878358392242,,,,,,,
bee35,655.5393590261976,696.0333847023828,734.9395041459163,763.8321576118387,782.598860849778,784.551778988842,765.7127472759813,758.5720803268001,767.1566400941214,,,,,,
bee36,652.8255272055999,625.0931810265845,618.1487507422032,611.5976495789484,614.2290706832233,610.978782045299,603.1532358009437,604.6188900048603,606.7465822309055,621.1603970823624,658.5568150242487,682.0280494995899,735.242877498618,793.6225895714036,898.7689276114872
bee37,597.5785543768876,531.1671267418591,489.47346279484145,477.3916826387457,464.0154809477062,473.5200640995093,489.80316388863713,521.4855542586628,567.455847830934,619.6879734392279,,,,,
bee38,459.76444403572924,497.58209401617324,530.5543288178847,565.9556768207675,582.7088488802721,568.4662281868824,547.1399990063481,530.2184155981573,531.9728279562927,531.9348465310987,566.6974528531697,598.8522774914353,634.4121626920233,669.6791457637911,695.3999065229548
bee39,378.4207526827409,345.7059654450096,318.2367948023149,279.5623635000666,241.24660063901015,206.7803348713056,197.25804684092546,234.192236101572,300.7122523958096,373.63264274492565,547.4713530325488,639.9597769037412,721.6020084948685,,
bee40,432.22032967961485,396.30991135646053,365.07146503093435,345.7121955290061,331.2832220122405,312.99251417174844,288.54072954063196,259.74389680752967,241.4288243109796,237.40053477448808,237.54504563308546,256.24390103974406,285.86985001272456,301.02148734518516,320.74649056048463
bee41,557.4948903023912,539.2343170724805,521.9236968496706,466.2309783805408,415.0311732264042,334.2484055808523,275.2981826257288,214.98781239351678,167.94785268973325,163.07057398160288,242.01698222217652,302.84812737524993,352.52183573956773,392.51701142026997,
bee42,585.2809843527692,573.0899170321907,573.7026739608311,565.1024197896936,565.5352384830923,528.207438901463,519.2182536083415,497.59342823687217,487.2415661797454,470.6933012712766,422.5340223081369,385.13979057680945,351.4617823041192,296.8214544676214,225.9079657616573
