bee,frame-1,frame-2,frame-3,frame-4,frame-5,frame-6,frame-7,frame-8,frame-9,frame-10,frame-11,frame-12,frame-13,frame-14,frame-15
bee1,881.4011206755529,909.524534171075,,,,,,,,,,,,,
bee2,794.2590001985709,812.2265167960389,826.6981308501463,838.7227650890311,853.4808264542279,861.4616733053576,895.5539471112743,,,,,,,,
bee3,696.0481236220705,726.0577903429838,759.0411444895275,794.4001895601323,828.8200017171204,858.670819350735,878.6511690480057,901.3595481569151,,,964.4677805866578,978.0274658157645,1016.3514925594686,,
bee4,713.8101988624147,710.5664541351503,704.7440692051364,694.1447012150775,686.6068130061077,677.2902584155257,694.791843115446,714.7351140748992,758.8796894825562,802.9775731638455,898.1328625749655,938.7979102468927,992.861201175782,1024.1971572515597,
bee5,666.3024725384386,653.0031688374113,640.3247517302927,624.2543629915007,609.4505557869956,610.7844512723036,635.9810004444927,665.8499351837042,709.5319774964559,749.5165410765882,,,,,
bee6,653.9768079182354,641.3235067971918,631.5690396824818,626.4126050042045,621.9738034974214,620.4470699354408,630.109433100367,642.3265972252025,680.8199950984528,726.5432623336758,810.6304327399961,833.2083117728548,,,
bee7,647.0357915144153,625.8823726893918,627.5364572818376,637.5852318015686,653.5444871428963,640.233530201876,641.2813302074701,654.498392681636,688.52266430705,713.8747618233261,760.4158745629065,777.5495034093017,812.7183017760736,840.9928622467156,898.7211106466099
bee8,888.7528638205592,888.294183275799,882.4500878130242,874.7532317430562,875.3228243800298,870.4472607353616,874.8419122367819,880.2751566983776,891.1502390241831,895.8187250501614,,,,,
bee9,707.5283249381957,697.6678314704803,696.8441184581744,699.306623212666,,,,,,,,,,,
bee10,491.48053950620044,437.72440162704885,400.1777617704144,388.5117485784756,422.0019664301877,,,,,,,,,,
bee11,581.2810458986148,587.5580935774841,608.6452045486924,620.4591381131537,,,,,,,,,,,
bee12,569.5722229417235,583.146063973117,589.8975881702946,600.2068712894982,624.3662841290966,,,,,,,,,,
bee13,454.8914536105303,468.63863175839515,477.1422985465786,477.42419564026847,475.3035325889653,478.1414837949433,494.8692298018066,524.9003545426461,563.7387512457652,599.8912582463072,,,,,
bee14,487.9952550984776,469.975667366062,451.98871099650466,442.7206894929007,449.51095290733963,463.55998885385003,492.3609507732071,519.5782365752636,567.1902685463335,605.0884544300756,655.5940707294926,675.6839853134132,704.7784603828629,732.4485817848874,753.5810186188905
bee15,392.4287306530643,410.1396502680555,414.15740343844203,409.9806471267861,,,,,,,,,,,
bee16,744.6003383850845,744.1658420962527,756.7854699603969,777.2747815203551,794.4699482997485,814.5340996568676,824.6082450830658,823.8555301661536,828.5521188819205,819.3999932727813,780.5429712441329,753.6376322551056,735.147089749116,727.5657266510121,723.3908473561532
bee17,459.0543897890929,507.7208499618821,554.1292372669712,587.60473047643,609.8241055576538,623.2619907173129,626.1554560332595,614.4406376520731,607.4642994378721,590.8773041320583,566.9689874461869,551.3595123822188,561.0805866639449,571.4434592341124,564.3175376258354
bee18,297.7918851458356,305.13826424788124,325.63575316623655,342.92562694239444,359.93244003283144,377.0254364269027,379.6718924795556,375.86842824913555,363.3189907711036,343.56791262511075,275.4050968041209,233.74824710239778,204.70820544182664,179.5577939008443,152.89886492260354
bee19,282.2120757386717,286.23593034031967,289.91740783946165,296.09505369424386,302.114235451822,318.3119182285389,325.75871711510564,323.2255594990364,320.3683636543317,311.2248570945275,280.5882178724786,255.80615646681792,231.15343603348114,221.1447173795194,225.75647159896172
bee20,219.5947289739471,184.58142704634108,158.9319472370375,137.4614852555304,151.41033379379417,181.59191682681558,,,,,,,,,
bee21,180.83786097383265,145.852795824902,130.90113450790943,149.49628065953522,192.5253044813491,,,,,,,,,,
bee22,189.24485340549265,231.92379022184852,297.9966801880376,373.84085615576083,451.50692329530335,,,,,,,,,,
bee23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
