bee,frame-1,frame-2,frame-3,frame-4,frame-5,frame-6,frame-7,frame-8,frame-9,frame-10,frame-11,frame-12,frame-13,frame-14,frame-15
bee1,894.3381195910387,913.7865509929086,,,,,,,,,,,,,
bee2,795.4548525822007,819.0229970960838,841.4081281418157,858.6462497988322,870.3960112346294,873.2293791255477,892.4892188961204,,,,,,,,
bee3,693.9506639563702,729.5801664472667,770.9947431753153,813.0683237587137,845.0219290701699,870.0662667095065,876.3355742098535,875.0791598984412,,,796.325817510113,777.4500145892089,767.1768317993713,,
bee4,702.8158141270767,704.5374271578964,709.3146896745649,708.7641224630432,703.6380396649118,692.9233519581652,696.9259007994048,690.2443661234418,692.4742545543194,700.6344294550429,713.3341644737076,723.1254929113119,742.568515016873,747.8911597044553,
bee5,661.8402711996442,655.1555699987534,654.7868627891672,653.0790859215604,638.7115019571515,635.687324512568,642.3890891111874,642.4349621882353,642.7809517157082,645.322487660108,,,,,
bee6,643.0953578061534,634.0984713893753,633.399611789602,638.1435413899214,633.3552095041358,629.1673998710456,626.1336472674151,615.9445928199754,615.709740479898,627.4600766952409,625.7779139943203,603.3753044353975,,,
bee7,695.0694471426334,672.6427893812424,669.8774193271198,670.0777631364643,670.3869491026205,640.7244528110804,622.6414507693634,622.7526775350332,633.3853871745409,640.747368048345,660.4253679108785,678.1538276248873,698.2001690464522,715.298368706066,743.3429875196995
bee8,940.0521320511629,937.4235040334466,927.6110467298903,909.7460070872214,890.4999873339095,868.7003505268822,857.026803458878,848.444186191344,837.7895493467607,830.5982943856955,,,,,
bee9,762.3395961170822,759.8206877541242,768.0555041586049,773.1738289283938,,,,,,,,,,,
bee10,483.7526207469692,451.10486706589995,445.0049181087806,468.0210320508427,512.2984454323616,,,,,,,,,,
bee11,644.3989181450006,654.856328745624,686.7098923055088,701.485614136323,,,,,,,,,,,
bee12,620.3981198879425,646.6559881899175,662.2538950220855,674.3117835557765,690.5205445918474,,,,,,,,,,
bee13,473.36296493351136,493.5892809823808,508.54404262300943,511.6164268255719,507.6990531061647,509.3475349602935,507.63642814601405,504.79370439834366,496.17106182246454,491.07795333036023,,,,,
bee14,465.94701271248937,457.08411502737414,455.4237763349396,461.7448675337592,472.72017535767515,486.3226194984545,499.2840738262432,497.65592703558764,499.8799977216738,498.46817271526817,449.58637119995524,423.4052725022432,404.045152585177,404.12546391687863,429.5638755655827
bee15,448.14944903392455,464.37643881255576,477.73647252511057,489.8754389650447,,,,,,,,,,,
bee16,721.5703135669627,713.0671094640809,719.255959936097,733.9531273419927,741.4996694350144,760.0853295587215,777.545571844312,789.1269462390434,799.9018977583199,805.4710212870099,861.6023947208674,915.4319496607214,970.8235123099591,1037.8965365965994,1098.9686185113717
bee17,417.3142703938465,438.5233416155049,463.83306420386396,485.5449649784165,503.0505164178324,528.0244079381675,561.7297764768398,581.3465981656093,588.7794719219851,582.2014306267098,602.0898505030037,623.8062854536561,650.3589877424902,675.8287987873077,682.2526057544345
bee18,311.8017026625492,304.4121240884591,304.50824128401325,297.40701377383425,288.5219243405357,298.5558369566623,319.0684251540529,342.73653504668846,349.40010630748367,348.3962491036791,374.1275942753741,413.3955763620921,471.9716069158713,547.4253643718919,615.6014901022544
bee19,249.05817104676117,234.27671479549127,217.12572801739654,201.7215269427067,192.41295389078292,212.32502444523507,254.15195790906523,295.5318456232881,333.4149156072369,365.5077905095427,480.8618074031709,558.4246837126278,640.4872778530727,732.4298306054744,806.8560700167504
bee20,263.092299961515,262.8631907949663,279.5882504220778,284.5872326450051,299.4098436240489,306.88323295392354,,,,,,,,,
bee21,180.6789701670646,194.72266018014898,238.6872664747118,288.762221714779,332.7988183688893,,,,,,,,,,
